date,pair,open,high,low,close
2023-01-03,USDEGP,30.4812,30.5486,30.3962,30.437224241834127
2023-01-04,USDEGP,30.1865,30.2276,30.0607,30.21410248260819
2023-01-05,USDEGP,30.1834,30.223,30.1328,30.21972040591552
2023-01-06,USDEGP,30.4435,30.4759,30.3348,30.47331123324789
2023-01-09,USDEGP,30.6222,30.67,30.5968,30.648722654160927
2023-01-10,USDEGP,31.0649,31.2233,31.0047,31.14314922756221
2023-01-11,USDEGP,31.3379,31.4317,31.327,31.34017117702461
2023-01-12,USDEGP,31.1459,31.1985,31.1197,31.18464119383805
2023-01-13,USDEGP,31.4421,31.4582,31.2964,31.43179095308525
2023-01-16,USDEGP,31.4144,31.4993,31.284,31.373685991322
2023-01-17,USDEGP,31.5394,31.6005,31.3923,31.505665198838837
2023-01-18,USDEGP,31.5306,31.6295,31.5152,31.517430738283387
2023-01-19,USDEGP,31.2778,31.3062,31.2232,31.267694163353664
2023-01-20,USDEGP,31.1488,31.2007,31.121,31.154463737334652
2023-01-23,USDEGP,31.4775,31.5627,31.3911,31.4505825642602
2023-01-24,USDEGP,31.649,31.7331,31.6187,31.667
2023-01-25,USDEGP,31.4162,31.5025,31.3073,31.48079737798757
2023-01-26,USDEGP,31.4788,31.4973,31.4305,31.43266735437722
2023-01-27,USDEGP,31.1674,31.2342,31.1363,31.206392353834364
2023-01-30,USDEGP,31.6103,31.7446,31.501,31.65166878830672
2023-01-31,USDEGP,31.974,32.1492,31.9236,32.011564043918625
2023-02-01,USDEGP,31.8287,31.8859,31.8177,31.878945867988985
2023-02-02,USDEGP,32.4026,32.5087,32.3219,32.362823536331575
2023-02-03,USDEGP,32.8087,32.8527,32.7929,32.81813442951701
2023-02-07,USDEGP,32.4732,32.5105,32.4458,32.494475387907684
2023-02-08,USDEGP,32.3443,32.3586,32.2935,32.354175431447494
2023-02-10,USDEGP,31.7568,31.8157,31.6884,31.7406
2023-02-13,USDEGP,31.8823,31.9102,31.8599,31.91006002997229
2023-02-14,USDEGP,32.3676,32.3843,32.2881,32.34544994537276
2023-02-15,USDEGP,32.7616,32.7875,32.6819,32.748127220772616
2023-02-17,USDEGP,32.7692,32.888,32.7157,32.79251739191443
2023-02-20,USDEGP,32.6619,32.7282,32.5401,32.656406008080666
2023-02-22,USDEGP,32.6826,32.7502,32.632,32.67239453399486
2023-02-23,USDEGP,33.0578,33.1418,33.0234,33.08968369247919
2023-02-24,USDEGP,32.7303,32.7818,32.7279,32.7716
2023-02-27,USDEGP,32.0531,32.0898,32.0169,32.03820811529432
2023-02-28,USDEGP,31.4113,31.4211,31.3223,31.36590106564824
2023-03-01,USDEGP,30.9836,31.0204,30.9505,30.9684
2023-03-02,USDEGP,31.624,31.6959,31.5384,31.6361388070762
2023-03-06,USDEGP,31.9148,31.969,31.8856,31.886210169331942
2023-03-07,USDEGP,31.5455,31.5711,31.4989,31.53600622687689
2023-03-08,USDEGP,32.2193,32.2752,32.1925,32.24892353881741
2023-03-09,USDEGP,31.6729,31.7575,31.6671,31.673813825214165
2023-03-10,USDEGP,31.9582,32.0179,31.8719,31.896286581945898
2023-03-13,USDEGP,32.2983,32.3132,32.2241,32.30672540677563
2023-03-14,USDEGP,32.244,32.3462,32.2106,32.2982979027943
2023-03-15,USDEGP,32.091,32.2197,31.9505,32.149108550415406
2023-03-16,USDEGP,32.1267,32.1441,32.0814,32.10487791505097
2023-03-17,USDEGP,32.1631,32.2524,32.123,32.177508357955126
2023-03-20,USDEGP,32.6698,32.7361,32.6658,32.67513364623171
2023-03-21,USDEGP,32.6055,32.6352,32.5331,32.620323491039066
2023-03-22,USDEGP,33.0836,33.1649,32.8939,33.07148979765644
2023-03-23,USDEGP,33.1449,33.2166,33.1386,33.18591913853494
2023-03-24,USDEGP,33.5423,33.5584,33.4395,33.51720085509472
2023-03-27,USDEGP,33.6104,33.6864,33.5502,33.6105541937383
2023-03-28,USDEGP,33.8939,33.9407,33.8056,33.87765880079994
2023-03-29,USDEGP,33.8141,33.8474,33.7778,33.8038581431717
2023-03-30,USDEGP,33.6928,33.7833,33.6243,33.652979723801906
2023-03-31,USDEGP,33.5431,33.5705,33.471,33.4902856308502
2023-04-03,USDEGP,33.8185,33.9584,33.6835,33.770104156165
2023-04-04,USDEGP,33.9414,33.9558,33.8705,33.87837149026028
2023-04-05,USDEGP,33.7425,33.8544,33.6404,33.75475332097984
2023-04-06,USDEGP,34.1332,34.1737,34.1,34.14546130876902
2023-04-07,USDEGP,34.5508,34.6529,34.5159,34.597636131051864
2023-04-10,USDEGP,34.5319,34.6394,34.4344,34.511542217977635
2023-04-11,USDEGP,34.5058,34.5418,34.4626,34.506811163190534
2023-04-12,USDEGP,34.1028,34.2495,34.0444,34.12799878700798
2023-04-13,USDEGP,34.2713,34.3076,34.185,34.249073676501794
2023-04-14,USDEGP,34.3329,34.3946,34.2803,34.34225583216621
2023-04-17,USDEGP,34.7762,34.821,34.7667,34.81478202655688
2023-04-18,USDEGP,34.2782,34.325,34.2194,34.27955895840581
2023-04-19,USDEGP,34.1822,34.337,34.1556,34.19875831500879
2023-04-20,USDEGP,33.5121,33.5371,33.4743,33.50391772879812
2023-04-21,USDEGP,33.3906,33.4583,33.3516,33.38759598377983
2023-04-24,USDEGP,33.4592,33.466,33.4098,33.429504624278934
2023-04-25,USDEGP,33.0989,33.1897,32.9783,33.12206313519984
2023-04-26,USDEGP,32.849,32.9422,32.7979,32.9117934926847
2023-04-27,USDEGP,33.2027,33.3039,33.15,33.18343659107073
2023-04-28,USDEGP,33.3999,33.4333,33.3259,33.359761957603425
2023-05-01,USDEGP,33.2524,33.4223,33.2257,33.2787442568045
2023-05-02,USDEGP,33.0588,33.1721,33.0486,33.072182921961456
2023-05-03,USDEGP,32.9331,33.0448,32.8201,32.9287086539779
2023-05-04,USDEGP,32.5961,32.6008,32.5206,32.592172469678246
2023-05-05,USDEGP,32.4572,32.5432,32.3968,32.47405881942717
2023-05-09,USDEGP,32.7948,32.82,32.601,32.81685375630691
2023-05-10,USDEGP,32.987,33.0117,32.9449,32.984656521826864
2023-05-11,USDEGP,33.2432,33.3493,33.1878,33.2625
2023-05-12,USDEGP,32.9153,32.9581,32.8757,32.94396587657003
2023-05-15,USDEGP,33.1477,33.2388,33.0587,33.09809138565546
2023-05-16,USDEGP,32.7595,32.8194,32.7306,32.782593012171844
