date,pair,open,high,low,close,daily_return,vol_7d,vol_30d,vol_7d_annualized,vol_30d_annualized,vol_7d_percent,vol_30d_percent,rate_change,close_30d_mean,trend_change_pct
2023-01-03,USDEGP,30.4812,30.5486,30.3962,30.437224241834127,,,,,,,,,30.437224241834127,
2023-01-04,USDEGP,30.1865,30.2276,30.0607,30.21410248260819,-0.0073305554229635694,,,,,,,-0.22312175922593624,30.325663362221157,-0.366527771148184
2023-01-05,USDEGP,30.1834,30.223,30.1328,30.21972040591552,0.00018593712358527803,,,,,,,0.0056179233073301305,30.29034904345261,-0.11645027627833482
2023-01-06,USDEGP,30.4435,30.4759,30.3348,30.47331123324789,0.008391567622933138,,,,,,,0.2535908273323706,30.33608959090143,0.1510070002270547
2023-01-09,USDEGP,30.6222,30.67,30.5968,30.648722654160927,0.005756231069554918,,,,,,,0.1754114209130364,30.39861620355333,0.2061129614762791
2023-01-10,USDEGP,31.0649,31.2233,31.0047,31.14314922756221,0.01613204501147969,,,,,,,0.49442657340128093,30.522705040888145,0.40820554627847283
2023-01-11,USDEGP,31.3379,31.4317,31.327,31.34017117702461,0.006326333538807072,,,,,,,0.19702194946240326,30.63948591747907,0.3826032995256634
2023-01-12,USDEGP,31.1459,31.1985,31.1197,31.18464119383805,-0.00496263987545098,0.008128908822908518,,0.12904242705440838,,12.904242705440838,,-0.15552998318656108,30.707630327023942,0.22240715698822466
2023-01-13,USDEGP,31.4421,31.4582,31.2964,31.43179095308525,0.007925368058941729,0.006652237548923466,,0.10560099729946415,,10.560099729946415,,0.2471497592472005,30.78809261880853,0.2620270301801231
2023-01-16,USDEGP,31.4144,31.4993,31.284,31.373685991322,-0.0018486048679179357,0.006969151257445704,,0.11063184645836648,,11.063184645836648,,-0.058104961763252305,30.84665195605988,0.19020125077697791
2023-01-17,USDEGP,31.5394,31.6005,31.3923,31.50566519883884,0.004206684785247994,0.0068470401477444,,0.10869339268683981,,10.86933926868398,,0.13197920751684222,30.906562250857963,0.19421976454179202
